62.171.158.50 - - [31/Dec/2025:00:03:22 +0700] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 150 "-" "-"
89.42.231.179 - - [31/Dec/2025:00:17:58 +0700] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 146 "http://1.55.150.243:80/cgi-bin/luci/;stok=/locale" "-"
45.84.222.130 - - [31/Dec/2025:00:21:29 +0700] "GET /HNAP1/ HTTP/1.1" 404 118 "http://1.55.150.243/HNAP1/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:31 +0700] "GET /cgi-bin/supervisor/Factory.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/Factory.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:32 +0700] "GET /cgi-bin/supervisor/CloudSetup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/CloudSetup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:33 +0700] "GET /cgi-bin/nobody/Machine.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/nobody/Machine.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:35 +0700] "GET /device.rsp?opt=user&cmd=list HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=user&cmd=list" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:35 +0700] "GET /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___ HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:37 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:38 +0700] "GET /GponForm/diag_Form?images/ HTTP/1.1" 404 118 "http://1.55.150.243:80/GponForm/diag_Form?images/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:46 +0700] "GET / HTTP/1.1" 200 1568 "-" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:47 +0700] "GET /vpn/list_base_config.php HTTP/1.1" 404 118 "http://1.55.150.243/vpn/list_base_config.php" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:48 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:21:55 +0700] "GET /setup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/setup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:23:59 +0700] "GET /HNAP1/ HTTP/1.1" 404 118 "http://1.55.150.243/HNAP1/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:01 +0700] "GET /cgi-bin/supervisor/Factory.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/Factory.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:02 +0700] "GET /cgi-bin/supervisor/CloudSetup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/CloudSetup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:03 +0700] "GET /cgi-bin/nobody/Machine.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/nobody/Machine.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:04 +0700] "GET /device.rsp?opt=user&cmd=list HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=user&cmd=list" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:05 +0700] "GET /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___ HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:06 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:07 +0700] "GET /GponForm/diag_Form?images/ HTTP/1.1" 404 118 "http://1.55.150.243:80/GponForm/diag_Form?images/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:15 +0700] "GET / HTTP/1.1" 200 1568 "-" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:16 +0700] "GET /vpn/list_base_config.php HTTP/1.1" 404 118 "http://1.55.150.243/vpn/list_base_config.php" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:17 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:25 +0700] "GET /setup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/setup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:50 +0700] "GET /HNAP1/ HTTP/1.1" 404 118 "http://1.55.150.243/HNAP1/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:53 +0700] "GET /cgi-bin/supervisor/Factory.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/Factory.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:54 +0700] "GET /cgi-bin/supervisor/CloudSetup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/CloudSetup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:55 +0700] "GET /cgi-bin/nobody/Machine.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/nobody/Machine.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:56 +0700] "GET /device.rsp?opt=user&cmd=list HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=user&cmd=list" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:57 +0700] "GET /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___ HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:58 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:24:59 +0700] "GET /GponForm/diag_Form?images/ HTTP/1.1" 404 118 "http://1.55.150.243:80/GponForm/diag_Form?images/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:25:07 +0700] "GET / HTTP/1.1" 200 1568 "-" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:25:08 +0700] "GET /vpn/list_base_config.php HTTP/1.1" 404 118 "http://1.55.150.243/vpn/list_base_config.php" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:25:09 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:25:16 +0700] "GET /setup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/setup.cgi" "Go-http-client/1.1"
193.142.147.209 - - [31/Dec/2025:00:34:14 +0700] "POST / HTTP/1.1" 405 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
89.42.231.179 - - [31/Dec/2025:00:38:19 +0700] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 146 "-" "-"
